cod;rubro;eq1;eq2;marca;modelo;detalle;descripcion;venta;costo;fecha
148;BIELETA;JC004;BIE 005;CHEVROLET;Meriva;Año 03/…;Bieleta delantera;3.470,00;2.570,00;2023-04-26
149;BIELETA;JV308;700040;CHEVROLET;Aveo;;Bieleta delantera;3.335,00;2.470,00;2023-05-03
150;BIELETA;JC008;700086;CHEVROLET;Onix;Año 13/…;Bieleta delantera;4.685,00;3.470,00;2023-05-03
151;BIELETA;JC011;700102;CHEVROLET;S10;;Bieleta delantera;2.120,00;1.570,00;2023-05-03
152;BIELETA;JC014;700124;CHEVROLET;S10;Año 13/…;Bieleta delantera derecha;3.755,00;2.780,00;2023-05-03
153;BIELETA;JC013;700123;CHEVROLET;S10;Año 13/…;Bieleta delantera izquierda;3.755,00;2.780,00;2023-05-03
154;BIELETA;JC008;700086;CHEVROLET;Sonic;;Bieleta delantera;4.685,00;3.470,00;2023-05-03
155;BIELETA;JC006;700063;CHEVROLET;Spark;Año 10/…;Bieleta delantera;3.445,00;2.550,00;2023-05-03
156;BIELETA;JC008;700086;CHEVROLET;Spin;Año 12/…;Bieleta delantera;4.685,00;3.470,00;2023-05-03
157;BIELETA;JC000;700059;CHEVROLET;Vectra;Año 03/07;Bieleta delantera;3.360,00;2.490,00;2023-05-03
158;BIELETA;JC001;BIE 005;CHEVROLET;Vectra;Año 05/…;Bieleta delantera;3.470,00;2.570,00;2023-04-26
159;BIELETA;JC004;BIE 005;CHEVROLET;Vectra;Año 97/01;Bieleta delantera;3.470,00;2.570,00;2023-04-26
160;BIELETA;JC001;BIE 005;CHEVROLET;Zafira;Año 99/…;Bieleta delantera;3.470,00;2.570,00;2023-04-26
161;BIELETA;JCY006;700016;CITROEN;AX;Año 86/96;Bieleta delantera perno fino;4.035,00;2.990,00;2023-05-03
162;BIELETA;JF224;700015;CITROEN;Berlingo;;Bieleta delantera;3.255,00;2.410,00;2023-05-03
163;BIELETA;751C;700019;CITROEN;C3;Año 02/…;Bieleta delantera;3.255,00;2.410,00;2023-05-03
164;BIELETA;751C;700019;CITROEN;C3;Picasso - Año 09/…;Bieleta delantera;3.255,00;2.410,00;2023-05-03
165;BIELETA;JP123;700020;CITROEN;C4;Año 04/…;Bieleta delantera;3.255,00;2.410,00;2023-05-03
166;BIELETA;JP123;700020;CITROEN;DS4;Año 11/…;Bieleta delantera;3.255,00;2.410,00;2023-05-03
167;BIELETA;JF402;;CITROEN;Jumper;;Bieleta delantera;4.185,00;3.100,00;2023-04-05
168;BIELETA;JCY006;700016;CITROEN;Saxo;Año 96/…;Bieleta delantera perno fino;4.035,00;2.990,00;2023-05-03
169;BIELETA;JCY006;700016;CITROEN;Xantia;Año 93/…;Bieleta delantera perno fino;4.035,00;2.990,00;2023-05-03
170;BIELETA;JF224;700015;CITROEN;Xsara;Año 97/…;Bieleta delantera;3.255,00;2.410,00;2023-05-03
171;BIELETA;JF224;700015;CITROEN;Xsara;Picasso - Año 99/…;Bieleta delantera;3.255,00;2.410,00;2023-05-03
172;BIELETA;JCY006;700016;CITROEN;Xsara;modelo viejo;Bieleta delantera perno fino;4.035,00;2.990,00;2023-05-03
173;BIELETA;JF224;700015;CITROEN;ZX;Año 91/98;Bieleta delantera;3.255,00;2.410,00;2023-05-03
174;BIELETA;60719;700041;DODGE;1500;;Bieleta delantera;1.825,00;1.350,00;2023-04-10
175;BIELETA;JF403;700007;FIAT;128;;Bieleta delantera;1.485,00;1.100,00;2023-04-10
176;BIELETA;JF404;BIE 350;FIAT;500;Año 08/…;Bieleta derecha;2.770,00;2.050,00;2023-04-26
177;BIELETA;JF405;700025;FIAT;Bravo;;Bieleta delantera derecha;3.335,00;2.470,00;2023-05-03
178;BIELETA;JF404;BIE 350;FIAT;Bravo ;Año 2013;Bieleta derecha;2.770,00;2.050,00;2023-04-26
179;BIELETA;JF405;700025;FIAT;Cubo;;Bieleta delantera derecha;3.335,00;2.470,00;2023-05-03
180;BIELETA;JF409;700117;FIAT;Doblo;;Bieleta derecha;3.565,00;2.640,00;2023-05-03
181;BIELETA;JF409;700117;FIAT;Doblo Carga;Año 12/…;Bieleta derecha;3.565,00;2.640,00;2023-05-03
182;BIELETA;JF402;;FIAT;Ducato;;Bieleta delantera;4.185,00;3.100,00;2023-04-05
183;BIELETA;JF403;700007;FIAT;Europa;;Bieleta delantera;1.485,00;1.100,00;2023-04-10
184;BIELETA;JF408;700087;FIAT;Gran Siena;;Bieleta delantera derecha;3.255,00;2.410,00;2023-05-03
185;BIELETA;JF406;700067;FIAT;Idea;;Bieleta delantera derecha;3.375,00;2.500,00;2023-05-03
186;BIELETA;JF407;700066;FIAT;Idea;;Bieleta delantera izquierda;3.375,00;2.500,00;2023-05-03
187;BIELETA;JF405;700025;FIAT;Linea;;Bieleta delantera derecha;3.335,00;2.470,00;2023-05-03
188;BIELETA;JF404;BIE 350;FIAT;Marea;;Bieleta delantero;2.770,00;2.050,00;2023-04-26
189;BIELETA;JF406;700067;FIAT;Palio;Weekend Serie III;Bieleta delantera derecha;3.375,00;2.500,00;2023-05-03
190;BIELETA;JF408;700087;FIAT;Palio;Año 12/…;Bieleta delantera derecha;3.255,00;2.410,00;2023-05-03
191;BIELETA;JF407;700066;FIAT;Palio;Weekend Serie III;Bieleta delantera izquierda;3.375,00;2.500,00;2023-05-03
192;BIELETA;JF405;700025;FIAT;Punto;;Bieleta delantera derecha;3.335,00;2.470,00;2023-05-03
193;BIELETA;JF405;700025;FIAT;Stilo;Año 01/…;Bieleta delantera derecha;3.335,00;2.470,00;2023-05-03
194;BIELETA;JF406;700067;FIAT;Strada;;Bieleta delantera derecha;3.375,00;2.500,00;2023-05-03
195;BIELETA;JF407;700066;FIAT;Strada;;Bieleta delantera izquierda;3.375,00;2.500,00;2023-05-03
196;BIELETA;JF403;700007;FIAT;Super Europa;;Bieleta delantera;1.485,00;1.100,00;2023-04-10
197;BIELETA;JF408;700087;FIAT;Uno;Novo;Bieleta delantera derecha;3.255,00;2.410,00;2023-05-03
198;BIELETA;JF217;700049;FORD;Ecosport;;Bieleta delantera;3.215,00;2.380,00;2023-05-03
199;BIELETA;JF219;700082;FORD;EcoSport;Año 12/…;Bieleta delantera;3.240,00;2.400,00;2023-05-03
200;BIELETA;JF218;700051;FORD;Ecosport;modelo 04/14;Bieleta trasera 4x4;2.835,00;2.100,00;2023-05-03
201;BIELETA;JF213;700045;FORD;Escort;;Bieleta delantera;3.090,00;2.290,00;2023-05-03
202;BIELETA;60448;;FORD;F100;;Bieleta trasera;2.025,00;1.500,00;2023-04-10
203;BIELETA;JF204;;FORD;F1000;;Bieleta delantera;1.890,00;1.400,00;2023-04-10
204;BIELETA;MAY625;700053;FORD;Falcon;;Bieleta delantera;1.215,00;900,00;2023-04-05
205;BIELETA;JF213;700045;FORD;Fiesta;;Bieleta delantera;3.090,00;2.290,00;2023-05-03
206;BIELETA;JF219;700082;FORD;Fiesta;Kinetic Desing;Bieleta delantera;3.240,00;2.400,00;2023-05-03
207;BIELETA;JF205;;FORD;Focus;;Bieleta trasera;2.500,00;1.850,00;2023-04-05
208;BIELETA;JF221;700068;FORD;Focus II;;Bieleta delantera;3.265,00;2.420,00;2023-05-03
209;BIELETA;JF210;;FORD;Galaxy;;Bieleta delantera;1.890,00;1.400,00;2023-04-05
210;BIELETA;JF213;700045;FORD;Ka;;Bieleta delantera;3.090,00;2.290,00;2023-05-03
211;BIELETA;JF205;;FORD;Ka;;Bieleta trasera;2.500,00;1.850,00;2023-04-05
212;BIELETA;JF221;700068;FORD;Kuga;Año 02/…;Bieleta delantera;3.265,00;2.420,00;2023-05-03
213;BIELETA;JF224;700015;FORD;Mondeo;Año 07/…;Bieleta delantera;3.255,00;2.410,00;2023-05-03
214;BIELETA;60449;;FORD;Mondeo;;Bieleta trasera;1.485,00;1.100,00;2023-04-10
215;BIELETA;JF213;700045;FORD;Orion;;Bieleta delantera;3.090,00;2.290,00;2023-05-03
216;BIELETA;JF207;;FORD;Ranger;Explorer - modelo viejo;Bieleta delantera;1.690,00;1.250,00;2023-04-05
217;BIELETA;JF209;;FORD;Ranger;modelo nuevo;Bieleta delantera;1.675,00;1.240,00;2023-04-05
218;BIELETA;JF223;700089;FORD;Ranger;modelo 2013;Bieleta delantera Derecha;4.430,00;3.280,00;2023-05-03
219;BIELETA;JF222;700088;FORD;Ranger;modelo 2013;Bieleta delantera Izquierda;4.430,00;3.280,00;2023-05-03
220;BIELETA;JF216;;FORD;Ranger;corta;Bieleta trasera corta;2.565,00;1.900,00;2023-04-05
221;BIELETA;JF212;;FORD;Ranger;larga;Bieleta trasera larga;2.725,00;2.020,00;2023-04-05
222;BIELETA;JF220;700057;FORD;Scape;modelo 2000;Bieleta delantera;2.835,00;2.100,00;2023-05-03
223;BIELETA;60436;700054;FORD;Taunus;;Bieleta delantera;1.350,00;1.000,00;2023-04-05
224;BIELETA;JP111;BIE 851;PEUGEOT;106;;Bieleta Delantero;3.010,00;2.230,00;2023-04-26
225;BIELETA;JP111;BIE 851;PEUGEOT;205;;Bieleta Delantero;3.010,00;2.230,00;2023-04-26
226;BIELETA;751C;700019;PEUGEOT;206;;Bieleta Delantera;3.255,00;2.410,00;2023-05-03
227;BIELETA;JF224;700015;PEUGEOT;306;;Bieleta Delantera;3.255,00;2.410,00;2023-05-03
228;BIELETA;JP123;700020;PEUGEOT;307;;Bieleta Delantera;3.255,00;2.410,00;2023-05-03
229;BIELETA;580C;700007;PEUGEOT;404;Año …/82;Bieleta Delantera;1.485,00;1.100,00;2023-04-10
230;BIELETA;591S;;PEUGEOT;405;original;Bieleta Delantera;1.915,00;1.420,00;2023-04-05
231;BIELETA;591C;JP 102;PEUGEOT;405;;Bieleta Delantera con buje silent block;2.635,00;1.950,00;2023-05-03
232;BIELETA;590C;;PEUGEOT;404;;Bieleta Delantera Derecha;1.485,00;1.100,00;2023-04-05
233;BIELETA;589C;;PEUGEOT;404;;Bieleta Delantera Izquierda;1.485,00;1.100,00;2023-04-05
234;BIELETA;587C;;PEUGEOT;405;;Bieleta Trasera;1.485,00;1.100,00;2023-04-05
235;BIELETA;JP110;BIE 851;PEUGEOT;406;modelo nuevo;Bieleta Delantero;3.010,00;2.230,00;2023-04-26
